Mã số SV,Đại số tuyến tính,Giải tích hàm một biến,Giải tích hàm nhiều biến,Chủ nghĩa Mác - Lê nin 1,Pháp luật đại cương,Tin học đại cương,Toán rời rạc,Kỹ năng giao tiếp và thuyết trình,Tiếng Anh 1,Tiếng Anh 2,Điểm TB,Cảnh báo học vụ
1851061505,4.4,6.9,7.2,6,7,9.2,4.9,6.8,6.9,7.7,6.7,No
1851122391,5.5,6.7,7.9,4.9,6.4,5.6,7.9,6.2,8,7.9,6.7,No
1851122220,6.5,7.3,7.4,7.4,6.6,9.5,5.9,7,5.4,3.9,6.69,No
1851061503,7.8,8.2,8.4,6.7,0,6.3,6.3,7.4,7.3,8.4,6.68,No
1851122401,7.8,4.5,5.5,5.9,6.4,7.7,5.1,6.2,8.9,7.3,6.67,No
1851061526,4.8,6.6,5.9,7,5.9,5.6,6.3,8.2,8.4,8,6.67,No
1851061734,5.3,9.1,5.5,8,6,5.5,5.5,7,6.3,8.5,6.67,No
1851061726,5.3,7.4,3.2,7.4,6,10,5.5,7.5,6.5,7.7,6.65,No
1851061403,6.6,3.7,4.6,7,7.9,9.9,6,7.4,6.8,6.2,6.61,No
1851061753,6.5,6.5,7.5,6.9,4.6,6.3,6.5,7.2,7.2,6.6,6.58,No
1851060380,5.4,4.6,3.3,6.9,5.7,9.7,7,7.2,7.9,7.9,6.56,No
1851060024,7.6,6.1,9.1,6.7,4.7,5.3,7.8,7.1,4.9,6.1,6.54,No
1851061341,8.8,5.5,6.3,6.8,4.6,5.1,6,7.4,6.4,8.4,6.53,No
1851061542,8.3,6.8,4.5,5.6,5.2,6.8,7,6.4,7.1,7.5,6.52,No
1851061430,7.1,7.6,7.3,5.9,7.8,9.1,7.7,6.9,5.6,0,6.5,No
1851122104,3.7,5.5,8.1,5.2,6.6,6.6,4.9,6.7,9.1,8.6,6.5,No
1851012526,7,7,7,6,5,7,6,7,7.2,5.5,6.47,No
1851061816,5.1,5.7,7.8,6.5,5.9,5.7,5,7,8,7.7,6.44,No
