index	confidence	rules
145 	1.000	['7.8', '7.3']=>['No']
146 	1.000	['6', '5.1']=>['No']
147 	1.000	['6', '8.4']=>['No']
148 	1.000	['8.6', '5.8']=>['No']
149 	1.000	['7', '8.3']=>['No']
150 	1.000	['6', '5.9']=>['No']
151 	1.000	['6.8', '7']=>['No']
152 	1.000	['7.5', '5.3']=>['No']
153 	1.000	['8.3', '6.5']=>['No']
154 	1.000	['6.1', '7.1']=>['No']
155 	1.000	['6.8', '6.7']=>['No']
156 	1.000	['7.5', '7.3']=>['No']
157 	1.000	['7.9', '5.8']=>['No']
158 	1.000	['6.2', '7']=>['No']
159 	1.000	['8', '4.8']=>['No']
160 	1.000	['8.1', '6.5']=>['No']
161 	1.000	['7.7', '7.6']=>['No']
162 	1.000	['7', '5.7']=>['No']
163 	1.000	['7.7', '7.8']=>['No']
164 	1.000	['6.8', '6']=>['No']
165 	1.000	['4.8', '5.7']=>['No']
166 	1.000	['7.9', '5']=>['No']
167 	1.000	['7.5', '7.8']=>['No']
168 	1.000	['6.2', '6.1']=>['No']
169 	1.000	['7', '5.3']=>['No']
170 	1.000	['5.3', '6.5']=>['No']
171 	1.000	['7', '6.3']=>['No']
172 	1.000	['8.2', '6.3']=>['No']
173 	1.000	['6.9', '6.3']=>['No']
174 	1.000	['6.3', '5.5']=>['No']
175 	1.000	['5.7', '5.3']=>['No']
176 	1.000	['7', '6.6']=>['No']
177 	1.000	['7.7', '6.9']=>['No']
178 	1.000	['5.7', '5.2']=>['No']
179 	1.000	['7.9', '8.9']=>['No']
180 	1.000	['5.3', '6.3']=>['No']
181 	1.000	['7', '8.8']=>['No']
182 	1.000	['7', '7.5']=>['No']
183 	1.000	['6', '7.2']=>['No']
184 	1.000	['6.2', '6.5']=>['No']
185 	1.000	['7.8', '4.5']=>['No']
186 	1.000	['3.7', '6']=>['No']
187 	1.000	['7.4', '6.7']=>['No']
188 	1.000	['5', '5.6']=>['No']
189 	1.000	['6.6', '8.5']=>['No']
190 	1.000	['6.2', '5.5']=>['No']
191 	1.000	['5', '4.6']=>['No']
192 	1.000	['7', '6.9']=>['No']
193 	1.000	['8.2', '7']=>['No']
194 	1.000	['6.2', '6']=>['No']
195 	1.000	['6.7', '6.5']=>['No']
196 	1.000	['4.8', '6.3']=>['No']
197 	1.000	['7.7', '6.3']=>['No']
198 	1.000	['8.2', '6.7']=>['No']
199 	1.000	['7.5', '6.7']=>['No']
200 	1.000	['7.4', '4.8']=>['No']
201 	1.000	['6.8', '4.9']=>['No']
202 	1.000	['6.1', '6.5']=>['No']
203 	1.000	['6.8', '4.6']=>['No']
204 	1.000	['7.9', '7.8']=>['No']
205 	1.000	['5.9', '6.5']=>['No']
206 	1.000	['5.2', '5.8']=>['No']
207 	1.000	['8.8', '5.3']=>['No']
208 	1.000	['7', '10']=>['No']
209 	1.000	['5', '5.5']=>['No']
210 	1.000	['6.2', '5.6']=>['No']
211 	1.000	['5.7', '5.9']=>['No']
212 	1.000	['5.4', '6.5']=>['No']
213 	1.000	['7.9', '6.7']=>['No']
214 	1.000	['7.7', '8.5']=>['No']
215 	1.000	['6.8', '4.8']=>['No']
216 	1.000	['6.8', '7.7']=>['No']
217 	1.000	['4.9', '5.8']=>['No']
218 	1.000	['6.8', '8.6']=>['No']
219 	1.000	['6.2', '8.9']=>['No']
220 	1.000	['6', '7.7']=>['No']
221 	1.000	['6.4', '7.6']=>['No']
222 	1.000	['7', '7.1']=>['No']
223 	1.000	['4.8', '6.4']=>['No']
224 	1.000	['7.4', '7.7']=>['No']
225 	1.000	['7.5', '6.3']=>['No']
226 	1.000	['6.4', '6.3']=>['No']
227 	1.000	['6.6', '8.7']=>['No']
228 	1.000	['8.1', '7.3']=>['No']
229 	1.000	['8', '6.4']=>['No']
230 	1.000	['6.2', '7.1']=>['No']
231 	1.000	['7.7', '5.1']=>['No']
232 	1.000	['6.8', '8.4']=>['No']
233 	1.000	['8.9', '6.5']=>['No']
